transaction_id,vendor,amount,category,date,payment_method,note
e541e1ae-893d-4479-a25d-326c8f7b559e,NortonLifeLock,18.77,SecuritySystem,2025-06-12,Visa,Story do here.
23b8a680-a487-4131-ba03-3a191faf5232,Republic Services,120.4,Trash,2025-05-01,MasterCard,Black board dark toward data economic.
70dc4c45-ede7-4a89-afae-cb1949fe8992,Consolidated Edison,52.67,Utilities,2025-06-05,Visa,Act peace stock whether.
1c80e262-f04e-41e4-a138-ff16bb52efdd,Paychex,36.52,Payroll,2025-02-21,Visa,Cost receive contain hit.
00c48818-534c-41f7-a229-b4386cafac1a,Molson Coors Beverage Company,6.78,Alcohol,2025-03-24,Visa,Unit magazine ten.
2f4506d9-8a36-46ae-8863-04af4370a496,Alliant Energy,6.78,Utilities,2025-06-17,MasterCard,Public record authority environmental light left.
560a717f-3c72-4d39-a6a3-5d3744b561a0,Corteva,7.390000000000001,Fertilizer,2025-03-03,Apple Pay,Image along structure PM drive.
4b6858a8-b0c6-4eb1-8f38-1baa3079f850,Align Technology,80.45,Health,2025-02-17,MasterCard,Must song account.
46487468-5538-4013-bbf7-554df1251474,Prudential Financial,36.76,LifeInsurance,2025-01-25,Apple Pay,Area or often ever return.
b06bca38-f455-43a9-a237-de0f0483b82d,Hess Corporation,49.25,Gas,2025-05-15,PayPal,Order her order assume situation.
c2cec366-b7a1-4f82-a585-1d2d3210bdc0,Mohawk Industries,5.83,HomeImprovement,2025-04-30,Visa,Involve pick be mention detail.
0102622c-1508-4660-a97d-47d9180d2498,S&P Global,140.14,Investments,2025-05-31,PayPal,Police lawyer whom stand push.
638f9d56-2d99-492f-9051-4587f0e7ce07,Extra Space Storage,71.46,Storage,2025-04-30,MasterCard,Card town government age number.
afb67a03-57d1-45c5-9da9-91826823bd45,Comcast,9.55,Internet,2025-04-15,Visa,Catch but budget.
5e4d02ff-370a-468c-b9f0-9be7f9f354bb,AvalonBay Communities,8.03,Rent,2025-04-04,Visa,Cold become drive simple.
a07211f2-3883-438e-bdd2-8c2e4e22e5c9,First Republic Bank,8.1,BankFees,2025-04-13,Apple Pay,Probably reality hair similar man.
c72090bb-f0f2-4fc7-9c0c-88eebfcb8b34,Diamondback Energy,14.51,Gas,2025-06-29,PayPal,Can population indeed candidate player certain.
e0591d15-e52f-499a-a8fb-bcb538ac372d,Loews Corporation,29.76,Insurance,2025-06-09,PayPal,Analysis consumer process big.
8f684732-f832-4f10-aaf1-70a5c4a8c8b3,Arthur J. Gallagher & Co.,22.62,Insurance,2025-02-19,AmEx,Affect with own side.
816b5da0-6384-4de7-bdff-9f11ed75b51f,Teledyne Technologies,13.77,Electronics,2025-01-31,Apple Pay,Process first back daughter follow of.
cc920abd-28f4-48dc-b159-21d9cec3b9c6,Ventas,37.85,Rent,2025-04-09,Apple Pay,Expert meeting stage event maintain weight.
6c0ba3ae-bfa0-480b-9c9d-edf17e95f397,Cigna,6.01,HealthInsurance,2025-01-11,Visa,Draw smile modern push international firm.
21c24474-5ae4-4d3f-8005-30d6c441df64,American Express,13.82,CreditCard,2025-01-22,MasterCard,Her group rise.
0d85da6b-ef2a-4aee-a97c-65ea28b7addc,Sempra Energy,18.25,Gas,2025-04-27,Visa,Action free fund.
5474474b-764b-4e05-b307-690dbd929d38,Trimble Inc.,24.36,Electronics,2025-05-12,Visa,Attack mother including.
f840bf3e-a9a7-4c40-8fd4-a9a27f6dbe5e,Freeport-McMoRan,61.52,Mining,2025-04-30,PayPal,Chair prove plan fish.
a37d94e0-a0c9-4ce0-9ddd-f68714d77b29,Northern Trust,8.91,Investments,2025-04-08,MasterCard,Who notice approach recent top.
